"signature_id",signature,product,"product_version"
1947,"Installer (Trojan)","Cinmus.IHR",3386
4815,"pdf.OT.23 (Exploit)","Malformed-File",3391
1982,"Installer (Trojan)","Trup.B",3386
3690,"Installer (Trojan)","Kraddare.CA_26",3386
387,"ActiveX component download (Adware)","Search_Miracle",844
390,"ActiveX component download (Adware)","Search_Miracle",844
4544,"ActiveX component download (Adware)",CoolWebSearch,599
1522,"ActiveX component download (Adware)",CnsMin,469
1445,"Installer (Adware)","AdMedia.G_7",3332
4061,"Setup Download NVClientInstallTrial.exe (Commercial Monitoring Software)",NetVizor,416
3840,"Installer (Trojan)","Agent.SCR",3386
3262,"ActiveX component download (Adware)",DialerPlatform,1152
4127,"Installer (Trojan)","SystemSecurity.AL_85",3386
952,"ActiveX component download (Adware)","About_Blank",980
4450,"ActiveX component download (Adware)",KeenValue,530
4589,"ActiveX component download (Adware)",CoolWebSearch,599
3388,"ActiveX component download (Trojan)","G_Spot",1654
4315,"ActiveX component download (Adware)","Permedia-Ads",421
116,"ActiveX component download (LoyaltyWare)",TopMoxie,739
3254,"ActiveX component download (Adware)",DialerPlatform,1152
644,"Installer_2 (Trojan)","Agent.CXRU",3386
958,"ActiveX component download (Adware)","About_Blank",980
1896,"Installer (Trojan)","Lukicsel.A_2",3386
2014,"Installer (Trojan)","BonusCash.AB_16",3386
4190,"Search (Adware)",Clear,2162
1906,"Installer (Trojan)","Vel19.A",3386
1112,"Spyware (Commercial Monitoring Software)",StatWin,1025
4154,"Component Download (Adware)",HuntBar,426
3221,"ActiveX component download (Adware)",CoolWebSearch,599
825,"ActiveX component download (Adware)",CoolWebSearch,599
1195,"ActiveX component download (Adware)",Aornum,461
1705,"Installer (Trojan)","FakeSec.D",3386
4330,"ActiveX component download (Dialer)","Unknown-Dialers",403
1381,"ActiveX component download (Adware)",FlashTrack,477
1019,"ActiveX component download (Adware)",ShopAtHomeSelect,700
641,"ActiveX component download (Adware)",ClientMan,517
2250,"ActiveX component download (Adware)",RapidBlaster,494
3300,"ActiveX component download (Adware)",INetBar,1644
2847,"Integrated Search Tech Tbar.gen.101 (Adware)",ISTbar,572
2997,"Picture Cube 3D Setup Download Picture-Cube-3D.exe (Adware)","Bundled-Software",100
2230,"ActiveX component download (Dialer)",MoneyTree,489
2360,"ActiveX component download (Adware)",KeenValue,530
3429,"ActiveX component download (Adware)",Mirar,637
915,"ActiveX component download (Adware)","About_Blank",980
3903,"Installer (Trojan)","SystemSecurity.AL_67",3386
1439,"Popup Installer (Adware)",WhenU,3332
2736,"California Bikini Girls Screensaver Setup Download (Adware)","Bundled-Software",100
3104,"ActiveX component download (Adware)",CoolWebSearch,599
3452,"ActiveX component download (Adware)",SecureServicePack,2406
2412,"ActiveX component download (Adware)","About_Blank",980
1379,"ActiveX component download (Adware)","Voonda-Toolbar",912
4777,"(Adware)","EoRezo.AT",2008
3771,"Installer (Trojan)","Kraddare.AR_13",3386
4280,"ActiveX component download (Dialer)",MasterDialer,523
