app,count,percent
"0001_IIS_EventLog
0002_Prod_IIS_EventLog
0002_QA_IIS_EventLog
0004_Prod_IIS_EventLog
0007_Prod_IIS_EventLog
0008_Prod_IIS_EventLog
0010_Stg_IIS_EventLog
0012_Prod_IIS_EventLog
0012_Stg_IIS_EventLog
0017_BMS_HPCLog
0017_Prod_IIS_EventLog
0019
0022_QA_IIS_EventLog
0042_Prod_IIS_EventLog
5000_Prod_IIS_EventLog
Admin
CDSP
EV_SDDEV_combined_cpu
ForecastManager
HPC_Logging",107,"0.049794"
"CapMan
Fraud
MAXMIND
Security
SplunkDeploymentMonitor
Splunk_CiscoFirewalls
Splunk_CiscoSecuritySuite
TPLogs
gettingstarted
inchome
infrastructure
itoc
pdfserver
reports
search
sideview_utils
sos
splunk_datapreview
txnproc
ufx",105,"0.048863"
"SplunkDeploymentMonitor
Splunk_CiscoFirewalls
Splunk_CiscoSecuritySuite
gettingstarted
search
splunk_datapreview",104,"0.048398"
"AccessProtection
EndpointProtection
NetworkProtection
AccessProtection
AuditAndDataProtection
CommonInformationModel
EndpointProtection
Eventgen
IdentityManagement
NetworkProtection
ThreatIntelligence
Utils
SplunkDeploymentMonitor
SplunkEnterpriseSecurityInstaller
SplunkEnterpriseSecuritySuite
airdefense
alcatel
bluecoat
cef
checkpoint",104,"0.048398"
"gettingstarted
maps
search
splunk_datapreview
windows",103,"0.047933"
"gettingstarted
maps
search
sideview_utils
splunk_datapreview",103,"0.047933"
"abcd
29debe814985
5a6a8efb9aec
5bb9b8ba1a02
1a869932f2d2
a00d274828a1
6500fb4c9b4f
b17973214697
50661ecbce6d
c2645e040e73
e913a30a7761
e20571f17fcd
gettingstarted
search
splunk_datapreview",101,"0.047002"
"SplunkforCiscoIronportWSA
gettingstarted
search
splunk_datapreview",101,"0.047002"
"Requirement1
Requirement10
Requirement12
Requirement2
Requirement3
Requirement4
Requirement5
Requirement7
Requirement8
Requirement9
AccessProtection
AuditAndDataProtection
CommonInformationModel
EndpointProtection
Eventgen
IdentityManagement
NetworkProtection
ThreatIntelligence
Utils
SplunkDeploymentMonitor",101,"0.047002"
"gettingstarted
search
sideview_utils
sos
splunk_datapreview
windows",100,"0.046537"
"MAXMIND
SplunkDeploymentMonitor
gettingstarted
maps
search
splunk_datapreview",100,"0.046537"
"MAXMIND
RTLicenseUsage
SplunkforSnort
dashboard_examples
gettingstarted
ids_ref
maps
modsecurity
ossec
postfix
search
sideview_utils
splunk_datapreview
splunk_license_usage
splunkforfail2ban
splunknetfilteriptables
unix
vectormaps",100,"0.046537"
"MySQL
gettingstarted
search
splunk_datapreview",99,"0.046071"
"MAXMIND
gettingstarted
maps
search
splunk_datapreview
unix",99,"0.046071"
"FISMA
InterMapper
RTLicenseUsage
HadoopOps
Splunk_Fortigate
gettingstarted
nbu
odts_splunk
search
sideview_utils
sos
splunk_datapreview
splunk_deployment_monitor
splunk_for_hadoopops
ufx
ui_examples
unix
webintelligence",99,"0.046071"
"Splunk_CiscoFirewalls
Splunk_CiscoSecuritySuite
gettingstarted
search
splunk_datapreview",98,"0.045606"
"SplunkDeploymentMonitor
405251a9f56b
758f0b142158
d842c9513c73
gettingstarted
search
splunk_datapreview",98,"0.045606"
"dev_tutorial
gettingstarted
my_app
new_app
search
splunk_datapreview",96,"0.044675"
"GraphRunning
HpfeedsHoneyGraph
MAXMIND
SplunkDeploymentMonitor
gettingstarted
maps
pingstatus_command
search
splunk_datapreview
traceroute_command
ui_examples
webintelligence
xmlutils",95,"0.044210"
"gettingstarted
labexamples
search
splunk_datapreview",94,"0.043744"
"SplunkDeploymentMonitor
SplunkForNagios
gettingstarted
search
splunk_datapreview
windows",94,"0.043744"
"MAXMIND
gettingstarted
search
splunk_datapreview",92,"0.042814"
