_raw,host,index,source,sourcetype,_time
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=hcloudEndPoint	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Region=us-east-1	related_Subnet=x.x.x.x/x	related_Tenant=infra	related_Ep=eni-0567b48cc52383dc4	related_Context=overlay-1]-addr	related_Cidr=x.x.x.x/x	ctxDn=acct-[infra]/region-[us-east-1]/context-[overlay-1]-addr-[x.x.x.x/x]/cidr-[x.x.x.x/x]/subnet-[x.x.x.x/x]/ep-[eni-0567b48cc52383dc4]	ctxClass=hcloudEndPoint	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=hcloudEndPoint	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Region=us-east-1	related_Subnet=x.x.x.x/x	related_Tenant=infra	related_Ep=eni-0b3302c4059e4c7ef	related_Context=overlay-1]-addr	related_Cidr=x.x.x.x/x	ctxDn=acct-[infra]/region-[us-east-1]/context-[overlay-1]-addr-[x.x.x.x/x]/cidr-[x.x.x.x/x]/subnet-[x.x.x.x/x]/ep-[eni-0b3302c4059e4c7ef]	ctxClass=hcloudEndPoint	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=cloudRegion	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Provp=aws	related_Region=us-east-1	ctxDn=uni/clouddomp/provp-aws/region-us-east-1	ctxClass=cloudRegion	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=cloudEPg	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Tenant=infra	related_Cloudextepg=all-internet	related_Cloudapp=cloud-infra	ctxDn=uni/tn-infra/cloudapp-cloud-infra/cloudextepg-all-internet	ctxClass=cloudExtEPg	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=cloudEPg	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Tenant=infra	related_Cloudextepg=ipn-peers	related_Cloudapp=cloud-infra	ctxDn=uni/tn-infra/cloudapp-cloud-infra/cloudextepg-ipn-peers	ctxClass=cloudExtEPg	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=cloudEPg	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Tenant=infra	related_Cloudextepg=ext-networks	related_Cloudapp=cloud-infra	ctxDn=uni/tn-infra/cloudapp-cloud-infra/cloudextepg-ext-networks	ctxClass=cloudExtEPg	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=cloudEPg	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Tenant=infra	related_Cloudextepg=controllers	related_Cloudapp=cloud-infra	ctxDn=uni/tn-infra/cloudapp-cloud-infra/cloudextepg-controllers	ctxClass=cloudExtEPg	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=cloudEPg	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Tenant=infra	related_Cloudepg=controllers	related_Cloudapp=cloud-infra	ctxDn=uni/tn-infra/cloudapp-cloud-infra/cloudepg-controllers	ctxClass=cloudEPg	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=cloudEPg	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Tenant=infra	related_Cloudepg=infra-routers	related_Cloudapp=cloud-infra	ctxDn=uni/tn-infra/cloudapp-cloud-infra/cloudepg-infra-routers	ctxClass=cloudEPg	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
"2019-06-14 02:51:56	apic_host=x.x.x.x	component=cloudApp	related_component=fvCtx	dn=uni/tn-infra/cloudapp-cloud-infra	lcOwn=local	modTs=2019-05-15T23:03:51.999+00:00	name=cloud-infra	uid=0	childAction=	dn=	related_Tenant=infra	related_Ctx=overlay-1	ctxDn=uni/tn-infra/ctx-overlay-1	ctxClass=fvCtx	status=","SPLUNK",main,"/opt/splunk/etc/apps/TA_cisco-ACI/bin/collect.py -cloud cloudZone cloudCtxProfile vzBrCP cloudRegion cloudExtEPg cloudEPg hcloudCsr hcloudEndPoint hcloudInstance vnsAbsGraph cloudLB fvTenant fvCtx cloudApp hcloudCtx","cisco:apic:cloud","2019-06-14T02:51:56.000-0700"
